하하, 75, 192
나자, 91, 155
자사, 75, 187
마다, 76, 177
자마, 86, 178
나마, 61, 179
차가, 84, 175
자자, 69, 199
하카, 59, 156
가하, 85, 156
마파, 96, 194
다나, 40, 164
차아, 71, 172
아마, 84, 144
라아, 56, 152
나바, 88, 172
아바, 78, 144
카하, 69, 158
바차, 70, 141
마가, 73, 189
차사, 67, 196
자사, 43, 177
타아, 64, 194
타바, 84, 158
마아, 77, 175
차바, 99, 185
카아, 52, 182
라마, 56, 194
가가, 55, 155
아카, 46, 178
파라, 94, 143
사나, 52, 179
자라, 94, 171
하자, 41, 184
다파, 57, 194
가사, 41, 165
가바, 64, 154
마가, 93, 175
자타, 55, 152
라마, 55, 168
바바, 53, 186
가마, 95, 178
다라, 76, 186
아가, 41, 180
바다, 43, 184
가마, 84, 196
하다, 82, 163
사타, 54, 162
가라, 57, 160
아가, 43, 199
다아, 84, 172
나가, 66, 140
사가, 40, 142
나아, 52, 166
차다, 77, 188
사카, 41, 174
파차, 66, 187
파다, 69, 192
차하, 84, 161
아하, 43, 143
나다, 61, 182
나아, 99, 153
사차, 59, 188
사자, 72, 154
라차, 60, 150
타나, 60, 172
자카, 57, 194
타마, 41, 141
하마, 45, 192
바나, 48, 155
자타, 97, 171
하사, 44, 145
다바, 53, 170
자파, 90, 193
차카, 76, 192
자마, 82, 142
사가, 44, 142
사사, 77, 166
마사, 68, 181
타하, 87, 153
하다, 95, 140
다나, 57, 165
차사, 97, 160
자바, 76, 146
타하, 66, 179
아타, 83, 159
하다, 76, 150
하타, 89, 196
가가, 61, 173
사나, 88, 150
하차, 71, 185
자자, 50, 194
가나, 47, 181
가가, 71, 183
다바, 93, 195
파나, 40, 198
차파, 57, 180
타자, 46, 188
다카, 77, 149
차차, 65, 156
